[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant config - assumed 'config' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant alias - assumed 'alias' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant functions - assumed 'functions' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002698s ]
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.003094s ]
[ 2013-05-23T23:34:11+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006244s ]
[ 2013-05-23T23:34:42+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant config - assumed 'config' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:34:42+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:34:42+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant alias - assumed 'alias' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:34:42+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 149 行.
[ 2013-05-23T23:34:42+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant functions - assumed 'functions' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:34:42+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 153 行.
[ 2013-05-23T23:34:42+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T23:34:42+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004231s ]
[ 2013-05-23T23:34:42+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.003856s ]
[ 2013-05-23T23:34:42+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008542s ]
[ 2013-05-23T23:35:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant config - assumed 'config' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:35:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:35:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant alias - assumed 'alias' Dispatcher.class.php 第 150 行.
[ 2013-05-23T23:35:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 150 行.
[ 2013-05-23T23:35:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant functions - assumed 'functions' Dispatcher.class.php 第 154 行.
[ 2013-05-23T23:35:11+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 154 行.
[ 2013-05-23T23:35:11+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T23:35:11+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002259s ]
[ 2013-05-23T23:35:11+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.002978s ]
[ 2013-05-23T23:35:11+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005675s ]
[ 2013-05-23T23:35:17+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant config - assumed 'config' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:35:17+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 145 行.
[ 2013-05-23T23:35:17+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant alias - assumed 'alias' Dispatcher.class.php 第 150 行.
[ 2013-05-23T23:35:17+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 150 行.
[ 2013-05-23T23:35:17+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant functions - assumed 'functions' Dispatcher.class.php 第 154 行.
[ 2013-05-23T23:35:17+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 154 行.
[ 2013-05-23T23:35:17+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-23T23:35:17+08:00 ] /rustcms/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002317s ]
[ 2013-05-23T23:35:17+08:00 ] /rustcms/ | INFO: Run CheckLang Behavior [ RunTime:0.003152s ]
[ 2013-05-23T23:35:17+08:00 ] /rustcms/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005975s ]
[ 2013-05-23T23:35:53+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant config - assumed 'config' Dispatcher.class.php 第 147 行.
[ 2013-05-23T23:35:53+08:00 ] /rustcms/ | NOTIC: [8] Use of undefined constant php - assumed 'php' Dispatcher.class.php 第 147 行.
