[ 2013-05-27T15:45:20+08:00 ] / | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: YES)
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.002625s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.002742s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.015456s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015580s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.001598s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.001826s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001841s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001753s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007392s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_end ] --START--
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001732s ]
[ 2013-05-27T16:16:40+08:00 ] /index.php/Admin/Login/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001837s ]
[ 2013-05-27T16:16:41+08:00 ] /index.php/Admin/Index | INFO: Tag[ route_check ] --START--
[ 2013-05-27T16:16:41+08:00 ] /index.php/Admin/Index | INFO: Run CheckRoute Behavior [ RunTime:0.001958s ]
[ 2013-05-27T16:16:41+08:00 ] /index.php/Admin/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002079s ]
