[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.064880s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_filter ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Run ContentReplace Behavior [ RunTime:0.002380s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Run TokenBuild Behavior [ RunTime:0.002547s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002933s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Run ShowRuntime Behavior [ RunTime:0.003047s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012002s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_end ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Run ShowPageTrace Behavior [ RunTime:0.002826s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin | INFO: Tag[ view_end ] --END-- [ RunTime:0.003086s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ route_check ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Run CheckRoute Behavior [ RunTime:0.002803s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ route_check ] --END-- [ RunTime:0.003077s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ app_begin ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003002s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Run CheckLang Behavior [ RunTime:0.003409s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006834s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | SQL: SHOW COLUMNS FROM `think_menu` [ RunTime:0.017144s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Tag[ view_template ] --START--
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/topmenu | INFO: Run LocationTemplate Behavior [ RunTime:0.003620s ]
